"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669509","3.3.15.4","16.9","E","","","1"
"2016","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669509","3.3.15.4","18.7","E","","","1"
"2017","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669509","3.3.15.4","13.6","E","","","1"
"2018","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669509","3.3.15.4","14.3","E","","","1"
"2019","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669509","3.3.15.4","19.9","E","","","1"
"2015","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669513","3.3.16.1","3400","E","","","0"
"2016","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669513","3.3.16.1","4300","E","","","0"
"2017","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669513","3.3.16.1","3300","E","","","0"
"2018","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669513","3.3.16.1","3300","E","","","0"
"2019","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669513","3.3.16.1","3400","E","","","0"
"2015","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669516","3.3.16.4","11.9","E","","","1"
"2016","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669516","3.3.16.4","17.4","E","","","1"
"2017","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669516","3.3.16.4","10.9","E","","","1"
"2018","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669516","3.3.16.4","11.2","E","","","1"
"2019","Prince Edward Island","2016A000211","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669516","3.3.16.4","13.0","E","","","1"
"2015","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669688","3.4.15.1","1700","E","","","0"
"2016","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669688","3.4.15.1","3500","E","","","0"
"2017","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669688","3.4.15.1","4600","E","","","0"
"2018","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669688","3.4.15.1","4300","E","","","0"
"2019","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669688","3.4.15.1","3300","E","","","0"
"2015","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669691","3.4.15.4","6.8","E","","","1"
"2016","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669691","3.4.15.4","11.7","E","","","1"
"2017","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669691","3.4.15.4","17.8","E","","","1"
"2018","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669691","3.4.15.4","14.6","E","","","1"
"2019","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669691","3.4.15.4","12.1","E","","","1"
"2015","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669695","3.4.16.1","1100","E","","","0"
"2016","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669695","3.4.16.1","1800","E","","","0"
"2017","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669695","3.4.16.1","2900","E","","","0"
"2018","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669695","3.4.16.1","3400","E","","","0"
"2019","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669695","3.4.16.1","2500","E","","","0"
"2015","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669698","3.4.16.4","4.4","E","","","1"
"2016","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669698","3.4.16.4","5.8","E","","","1"
"2017","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669698","3.4.16.4","11.2","E","","","1"
"2018","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669698","3.4.16.4","11.4","E","","","1"
"2019","Prince Edward Island","2016A000211","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669698","3.4.16.4","9.3","E","","","1"
"2015","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669870","3.5.15.1","3000","E","","","0"
"2016","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669870","3.5.15.1","1400","E","","","0"
"2017","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669870","3.5.15.1","2300","E","","","0"
"2018","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669870","3.5.15.1","2500","E","","","0"
"2019","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111669870","3.5.15.1","4400","E","","","0"
"2015","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669873","3.5.15.4","10.9","E","","","1"
"2016","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669873","3.5.15.4","6.6","E","","","1"
"2017","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669873","3.5.15.4","9.9","E","","","1"
"2018","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669873","3.5.15.4","11.2","E","","","1"
"2019","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111669873","3.5.15.4","15.2","E","","","1"
"2015","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669877","3.5.16.1","1800","E","","","0"
"2016","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669877","3.5.16.1","","F","","","0"
"2017","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669877","3.5.16.1","2100","E","","","0"
"2018","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669877","3.5.16.1","2000","E","","","0"
"2019","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111669877","3.5.16.1","2200","E","","","0"
"2015","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669880","3.5.16.4","6.6","E","","","1"
"2016","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669880","3.5.16.4","","F","","","1"
"2017","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669880","3.5.16.4","9.1","E","","","1"
"2018","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669880","3.5.16.4","8.6","E","","","1"
"2019","Prince Edward Island","2016A000211","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111669880","3.5.16.4","7.4","E","","","1"
"2015","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670052","3.6.15.1","2900","E","","","0"
"2016","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670052","3.6.15.1","2500","E","","","0"
"2017","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670052","3.6.15.1","2400","E","","","0"
"2018","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670052","3.6.15.1","3900","E","","","0"
"2019","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670052","3.6.15.1","1900","E","","","0"
"2015","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670055","3.6.15.4","30.9","E","","","1"
"2016","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670055","3.6.15.4","33.2","E","","","1"
"2017","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670055","3.6.15.4","29.7","E","","","1"
"2018","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670055","3.6.15.4","39.5","E","","","1"
"2019","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670055","3.6.15.4","23.7","E","","","1"
"2015","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111670059","3.6.16.1","2700","E","","","0"
"2016","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111670059","3.6.16.1","1800","E","","","0"
"2017","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111670059","3.6.16.1","1800","E","","","0"
"2018","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111670059","3.6.16.1","3500","E","","","0"
"2019","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111670059","3.6.16.1","1700","E","","","0"
"2015","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111670062","3.6.16.4","29.4","E","","","1"
"2016","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111670062","3.6.16.4","24.1","E","","","1"
"2017","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111670062","3.6.16.4","23.0","E","","","1"
"2018","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111670062","3.6.16.4","35.1","E","","","1"
"2019","Prince Edward Island","2016A000211","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111670062","3.6.16.4","21.3","E","","","1"
"2015","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670234","3.7.15.1","4400","E","","","0"
"2016","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670234","3.7.15.1","2300","E","","","0"
"2017","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670234","3.7.15.1","4600","E","","","0"
"2018","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670234","3.7.15.1","4200","E","","","0"
"2019","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670234","3.7.15.1","6600","E","","","0"
"2015","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670237","3.7.15.4","19.9","E","","","1"
"2016","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670237","3.7.15.4","13.0","E","","","1"
"2017","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670237","3.7.15.4","25.4","E","","","1"
"2018","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670237","3.7.15.4","20.8","E","","","1"
"2019","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670237","3.7.15.4","25.1","E","","","1"
"2015","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111670241","3.7.16.1","3500","E","","","0"
"2016","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111670241","3.7.16.1","1800","E","","","0"
"2017","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111670241","3.7.16.1","3700","E","","","0"
"2018","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111670241","3.7.16.1","3400","E","","","0"
"2019","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111670241","3.7.16.1","5200","E","","","0"
"2015","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111670244","3.7.16.4","15.8","E","","","1"
"2016","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111670244","3.7.16.4","10.1","E","","","1"
"2017","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111670244","3.7.16.4","20.3","E","","","1"
"2018","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111670244","3.7.16.4","17.2","E","","","1"
"2019","Prince Edward Island","2016A000211","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111670244","3.7.16.4","19.8","E","","","1"
"2015","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670416","3.8.15.1","11200","","","","0"
"2016","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670416","3.8.15.1","13500","","","","0"
"2017","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670416","3.8.15.1","13100","","","","0"
"2018","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670416","3.8.15.1","13300","","","","0"
"2019","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670416","3.8.15.1","12900","","","","0"
"2015","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670419","3.8.15.4","12.4","","","","1"
"2016","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670419","3.8.15.4","13.9","","","","1"
"2017","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670419","3.8.15.4","13.4","","","","1"
"2018","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670419","3.8.15.4","13.6","","","","1"
"2019","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670419","3.8.15.4","13.5","","","","1"
"2015","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111670423","3.8.16.1","7200","E","","","0"
"2016","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111670423","3.8.16.1","9900","","","","0"
"2017","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111670423","3.8.16.1","10300","","","","0"
"2018","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111670423","3.8.16.1","10400","","","","0"
"2019","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111670423","3.8.16.1","7300","E","","","0"
"2015","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111670426","3.8.16.4","8.0","E","","","1"
"2016","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111670426","3.8.16.4","10.2","","","","1"
"2017","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111670426","3.8.16.4","10.5","","","","1"
"2018","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111670426","3.8.16.4","10.7","","","","1"
"2019","Prince Edward Island","2016A000211","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111670426","3.8.16.4","7.6","E","","","1"
"2015","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670598","4.1.15.1","37800","","","","0"
"2016","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670598","4.1.15.1","47700","","","","0"
"2017","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670598","4.1.15.1","40700","","","","0"
"2018","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670598","4.1.15.1","44300","","","","0"
"2019","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670598","4.1.15.1","45700","","","","0"
"2015","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670601","4.1.15.4","27.7","","","","1"
"2016","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670601","4.1.15.4","31.1","","","","1"
"2017","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670601","4.1.15.4","29.7","","","","1"
"2018","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670601","4.1.15.4","28.5","","","","1"
"2019","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670601","4.1.15.4","28.8","","","","1"
"2015","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670605","4.1.16.1","27400","","","","0"
"2016","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670605","4.1.16.1","36300","","","","0"
"2017","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670605","4.1.16.1","34900","","","","0"
"2018","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670605","4.1.16.1","35400","","","","0"
"2019","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670605","4.1.16.1","30800","","","","0"
"2015","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670608","4.1.16.4","20.1","","","","1"
"2016","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670608","4.1.16.4","23.7","","","","1"
"2017","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670608","4.1.16.4","25.4","","","","1"
"2018","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670608","4.1.16.4","22.8","","","","1"
"2019","Nova Scotia","2016A000212","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670608","4.1.16.4","19.4","","","","1"
"2015","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670780","4.2.15.1","35000","","","","0"
"2016","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670780","4.2.15.1","37400","","","","0"
"2017","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670780","4.2.15.1","30900","","","","0"
"2018","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670780","4.2.15.1","33100","","","","0"
"2019","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670780","4.2.15.1","37500","","","","0"
"2015","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670783","4.2.15.4","23.7","","","","1"
"2016","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670783","4.2.15.4","21.8","","","","1"
"2017","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670783","4.2.15.4","17.4","","","","1"
"2018","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670783","4.2.15.4","20.9","","","","1"
"2019","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670783","4.2.15.4","23.0","","","","1"
"2015","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670787","4.2.16.1","27700","E","","","0"
"2016","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670787","4.2.16.1","32400","","","","0"
"2017","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670787","4.2.16.1","24200","","","","0"
"2018","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670787","4.2.16.1","23800","","","","0"
"2019","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670787","4.2.16.1","31200","","","","0"
"2015","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670790","4.2.16.4","18.8","","","","1"
"2016","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670790","4.2.16.4","18.9","","","","1"
"2017","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670790","4.2.16.4","13.6","","","","1"
"2018","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670790","4.2.16.4","15.1","","","","1"
"2019","Nova Scotia","2016A000212","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670790","4.2.16.4","19.2","","","","1"
"2015","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670962","4.3.15.1","26600","E","","","0"
"2016","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670962","4.3.15.1","23600","E","","","0"
"2017","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670962","4.3.15.1","19800","E","","","0"
"2018","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670962","4.3.15.1","31900","","","","0"
"2019","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111670962","4.3.15.1","24000","E","","","0"
"2015","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670965","4.3.15.4","16.8","","","","1"
"2016","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670965","4.3.15.4","16.1","E","","","1"
"2017","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670965","4.3.15.4","12.2","E","","","1"
"2018","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670965","4.3.15.4","17.7","","","","1"
"2019","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111670965","4.3.15.4","14.2","E","","","1"
"2015","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670969","4.3.16.1","21300","E","","","0"
"2016","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670969","4.3.16.1","18900","E","","","0"
"2017","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670969","4.3.16.1","10700","E","","","0"
"2018","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670969","4.3.16.1","24800","","","","0"
"2019","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111670969","4.3.16.1","17800","E","","","0"
"2015","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670972","4.3.16.4","13.5","","","","1"
